Time,Quadrant Number,Ball Colour,Type
2.6666666666666665,1,Color_1,Entry
2.6666666666666665,4,Color_2,Entry
2.6666666666666665,2,Color_3,Entry
2.6666666666666665,2,Color_1,Exit
2.6666666666666665,1,Color_2,Exit
2.6666666666666665,4,Color_3,Exit
2.7,3,Color_1,Entry
2.7,1,Color_2,Entry
2.7,1,Color_1,Exit
2.7,4,Color_2,Exit
2.7333333333333334,1,Color_1,Entry
2.7333333333333334,2,Color_2,Entry
2.7333333333333334,4,Color_3,Entry
2.7333333333333334,3,Color_1,Exit
2.7333333333333334,1,Color_2,Exit
2.7333333333333334,2,Color_3,Exit
2.7666666666666666,4,Color_2,Entry
2.7666666666666666,1,Color_3,Entry
2.7666666666666666,2,Color_4,Entry
2.7666666666666666,2,Color_2,Exit
2.7666666666666666,4,Color_3,Exit
2.7666666666666666,1,Color_4,Exit
2.8,3,Color_2,Entry
2.8,2,Color_3,Entry
2.8,1,Color_4,Entry
2.8,4,Color_2,Exit
2.8,1,Color_3,Exit
2.8,2,Color_4,Exit
2.8333333333333335,3,Color_1,Entry
2.8333333333333335,1,Color_2,Entry
2.8333333333333335,1,Color_1,Exit
2.8333333333333335,3,Color_2,Exit
2.8666666666666667,1,Color_3,Entry
2.8666666666666667,2,Color_4,Entry
2.8666666666666667,2,Color_3,Exit
2.8666666666666667,1,Color_4,Exit
2.933333333333333,2,Color_3,Entry
2.933333333333333,1,Color_4,Entry
2.933333333333333,1,Color_3,Exit
2.933333333333333,2,Color_4,Exit
2.966666666666667,2,Color_1,Entry
2.966666666666667,3,Color_3,Entry
2.966666666666667,3,Color_1,Exit
2.966666666666667,2,Color_3,Exit
3.0,4,Color_2,Entry
3.0,1,Color_3,Entry
3.0,1,Color_2,Exit
3.0,3,Color_3,Exit
3.033333333333333,1,Color_2,Entry
3.033333333333333,4,Color_3,Entry
3.033333333333333,4,Color_2,Exit
3.033333333333333,1,Color_3,Exit
3.066666666666667,4,Color_1,Entry
3.066666666666667,2,Color_2,Entry
3.066666666666667,1,Color_3,Entry
3.066666666666667,3,Color_4,Entry
3.066666666666667,2,Color_1,Exit
3.066666666666667,1,Color_2,Exit
3.066666666666667,4,Color_3,Exit
3.066666666666667,1,Color_4,Exit
3.1,2,Color_1,Entry
3.1,1,Color_2,Entry
3.1,4,Color_3,Entry
3.1,4,Color_4,Entry
3.1,4,Color_1,Exit
3.1,2,Color_2,Exit
3.1,1,Color_3,Exit
3.1,3,Color_4,Exit
3.1333333333333333,4,Color_1,Entry
3.1333333333333333,2,Color_2,Entry
3.1333333333333333,1,Color_4,Entry
3.1333333333333333,2,Color_1,Exit
3.1333333333333333,1,Color_2,Exit
3.1333333333333333,4,Color_4,Exit
3.1666666666666665,3,Color_3,Entry
3.1666666666666665,4,Color_4,Entry
3.1666666666666665,4,Color_3,Exit
3.1666666666666665,1,Color_4,Exit
3.2,4,Color_3,Entry
3.2,3,Color_4,Entry
3.2,2,Color_2,Exit
3.2,3,Color_3,Exit
3.2,4,Color_4,Exit
3.2333333333333334,2,Color_2,Entry
3.2333333333333334,3,Color_3,Entry
3.2333333333333334,4,Color_4,Entry
3.2333333333333334,4,Color_3,Exit
3.2333333333333334,3,Color_4,Exit
3.2666666666666666,3,Color_1,Entry
3.2666666666666666,4,Color_2,Entry
3.2666666666666666,2,Color_3,Entry
3.2666666666666666,4,Color_1,Exit
3.2666666666666666,2,Color_2,Exit
3.2666666666666666,3,Color_3,Exit
3.3,2,Color_2,Entry
3.3,4,Color_3,Entry
3.3,4,Color_2,Exit
3.3,2,Color_3,Exit
3.3333333333333335,4,Color_1,Entry
3.3333333333333335,4,Color_2,Entry
3.3333333333333335,2,Color_3,Entry
3.3333333333333335,3,Color_4,Entry
3.3333333333333335,3,Color_1,Exit
3.3333333333333335,2,Color_2,Exit
3.3333333333333335,4,Color_3,Exit
3.3333333333333335,4,Color_4,Exit
